doi,normed,Notes,title,abstract_keywords,recipe_keywords,year,Si,Ge,F,Na,Al,H2O,OH,precursors,acid,sda1,sda2,sda3,solvent,cryst_temp,cryst_time,osda1,osda2,osda3,product1,product2,product3,training
10.1002/anie.200250076,yes,,Open‐Framework Materials Synthesized in the TMA+/TEA+ Mixed‐Template System: The New Low Si/Al Ratio Zeolites UZM‐4 and UZM‐5,"['new framework topology related', 'large surface cups capable', 'tea +) ions']","['distributed among eight teflon', 'resolution transmission electron microscopy', 'dark areas indicate positions']",2003.0,0.02136752136752136,0.0,0.0,0.0,0.008547008547008548,0.8547008547008547,0.06837606837606838,"aluminum hydroxide, colloidal silica, LiCl",0.0,0.03418803418803419,0.008547008547008548,0.0,0.0,125.0,72.0,tetraethylammonium,tetramethylammonium,,UZM-4,,,False
10.1002/anie.200250076,yes,,,,,2003.0,0.0291970802919708,0.0,0.0,0.0,0.00364963503649635,0.875912408759124,0.0583941605839416,"aluminum sec-butoxide, colloidal silica",0.0,0.0291970802919708,0.00364963503649635,0.0,0.0,150.0,96.0,tetraethylammonium,tetramethylammonium,,UZM-5,,,False
10.1002/anie.200602996,yes,,,,,2006.0,0.05988023952095808,0.0,0.02095808383233533,0.0,0.0,0.8982035928143713,0.0,"Ludox-AS-40, NH4F, KOH",0.0,0.01497005988023952,0.0,0.0,0.0,175.0,336.0,"4,4-dimethyl-4-azoniatricyclo[5.2.2.02,6]undec-8-ene",,,amorphous,,,False
10.1002/anie.200602999,yes,,,,,2006.0,0.05813953488372093,0.0,0.03488372093023256,0.0,0.0,0.872093023255814,0.0,"Ludox-AS-40, NH4F, KOH",0.0,0.02906976744186046,0.0,0.0,0.0,175.0,336.0,"4,4-dimethyl-4-azoniatricyclo[5.2.2.02,6]undec-8-ene",,,amorphous,,,False
10.1002/anie.201404076,yes,,"Synthesis of a Specified, Silica Molecular Sieve by Using Computationally Predicted Organic Structure‐Directing Agents","['recently developed computational method', 'create stw may lead', 'constructs chemically synthesizable osdas']","['using standard methods', 'ray diffraction patterns', 'final molar ratios']",2014.0,0.1666666666666667,0.0,0.08333333333333333,0.0,0.0,0.6666666666666666,0.0,"TEOS, HF",0.0,0.08333333333333333,0.0,0.0,0.0,140.0,12.0,"1,2,3,4,5-pentamethylimidazol-1-ium",,,STW,,,True
10.1002/anie.201404076,yes,,,,,2014.0,0.1111111111111111,0.0,0.05555555555555555,0.0,0.0,0.7777777777777778,0.0,"TEOS, HF",0.0,0.05555555555555555,0.0,0.0,0.0,140.0,23.0,"1,2,3,4,5-pentamethylimidazol-1-ium",,,STW,,,True
10.1002/anie.201404076,yes,,,,,2014.0,0.0625,0.0,0.03125,0.0,0.0,0.875,0.0,"TEOS, HF",0.0,0.03125,0.0,0.0,0.0,140.0,35.0,"1,2,3,4,5-pentamethylimidazol-1-ium",,,unknown,,,True
10.1002/anie.201404076,yes,,,,,2014.0,0.1666666666666667,0.0,0.08333333333333333,0.0,0.0,0.6666666666666666,0.0,"TEOS, HF",0.0,0.08333333333333333,0.0,0.0,0.0,160.0,8.0,"1,2,3,4,5-pentamethylimidazol-1-ium",,,STW,,,True
10.1002/anie.201404076,yes,,,,,2014.0,0.1111111111111111,0.0,0.05555555555555555,0.0,0.0,0.7777777777777778,0.0,"TEOS, HF",0.0,0.05555555555555555,0.0,0.0,0.0,160.0,7.0,"1,2,3,4,5-pentamethylimidazol-1-ium",,,STW,,,True
10.1002/anie.201404076,yes,,,,,2014.0,0.0625,0.0,0.03125,0.0,0.0,0.875,0.0,"TEOS, HF",0.0,0.03125,0.0,0.0,0.0,160.0,7.0,"1,2,3,4,5-pentamethylimidazol-1-ium",,,STW,,,True
